URN,SCHNAME,ETH_WHITE_BRIT_N,ETH_WHITE_BRIT_PCT,ETH_WHITE_IRISH_N,ETH_WHITE_IRISH_PCT,ETH_TRAVELLER_N,ETH_TRAVELLER_PCT,ETH_GYPSY_ROMA_N,ETH_GYPSY_ROMA_PCT,ETH_WHITE_OTHER_N,ETH_WHITE_OTHER_PCT,ETH_MIXED_WHITE_CARIB_N,ETH_MIXED_WHITE_CARIB_PCT,ETH_MIXED_WHITE_AFR_N,ETH_MIXED_WHITE_AFR_PCT,ETH_MIXED_WHITE_ASIAN_N,ETH_MIXED_WHITE_ASIAN_PCT,ETH_MIXED_OTHER_N,ETH_MIXED_OTHER_PCT,ETH_ASIAN_INDIAN_N,ETH_ASIAN_INDIAN_PCT,ETH_ASIAN_PAKISTANI_N,ETH_ASIAN_PAKISTANI_PCT,ETH_ASIAN_BANGLADESHI_N,ETH_ASIAN_BANGLADESHI_PCT,ETH_ASIAN_OTHER_N,ETH_ASIAN_OTHER_PCT,ETH_BLACK_CARIB_N,ETH_BLACK_CARIB_PCT,ETH_BLACK_AFR_N,ETH_BLACK_AFR_PCT,ETH_BLACK_OTHER_N,ETH_BLACK_OTHER_PCT,ETH_CHINESE_N,ETH_CHINESE_PCT,ETH_OTHER_N,ETH_OTHER_PCT,ETH_UNCLASSIFIED_N,ETH_UNCLASSIFIED_PCT
100000,The Aldgate School,43,17.3,2,0.8,0,0,0,0,25,10,4,1.6,0,0,10,4,35,14.1,3,1.2,2,0.8,94,37.8,2,0.8,6,2.4,6,2.4,0,0,2,0.8,15,6,0,0
100001,City of London School for Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100002,St Paul's Cathedral School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003,City of London School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100008,Argyle Primary School,4,1.4,0,0,0,0,0,0,13,4.7,1,0.4,0,0,1,0.4,8,2.9,2,0.7,7,2.5,124,44.6,2,0.7,3,1.1,59,21.2,3,1.1,4,1.4,39,14,8,2.9
100009,West Hampstead Primary School,94,23,5,1.2,0,0,0,0,72,17.6,17,4.2,16,3.9,27,6.6,34,8.3,4,1,5,1.2,15,3.7,14,3.4,11,2.7,33,8.1,2,0.5,3,0.7,47,11.5,10,2.4
100010,Brecknock Primary School,40,13.9,0,0,0,0,0,0,32,11.1,24,8.3,2,0.7,3,1,20,6.9,5,1.7,5,1.7,41,14.2,4,1.4,6,2.1,71,24.7,6,2.1,1,0.3,27,9.4,1,0.3
100011,Brookfield Primary School,169,42.9,4,1,0,0,0,0,61,15.5,34,8.6,12,3,15,3.8,5,1.3,1,0.3,1,0.3,12,3,15,3.8,4,1,13,3.3,2,0.5,3,0.8,34,8.6,9,2.3
100013,Edith Neville Primary School,7,3.4,0,0,0,0,0,0,15,7.4,3,1.5,0,0,1,0.5,12,5.9,0,0,0,0,109,53.4,3,1.5,0,0,33,16.2,1,0.5,2,1,16,7.8,2,1
100014,Fleet Primary School,31,14.4,2,0.9,0,0,0,0,61,28.4,7,3.3,1,0.5,4,1.9,10,4.7,1,0.5,0,0,46,21.4,4,1.9,3,1.4,23,10.7,7,3.3,0,0,12,5.6,3,1.4
