URN,SCHNAME,POSTCODE,ISPRIMARY,ISSECONDARY,LAT,LON
100000,The Aldgate School,EC3A 5DE,1,0,51.513664,-0.07746
100001,City of London School for Girls,EC2Y 8BB,1,1,51.519131,-0.094483
100002,St Paul's Cathedral School,EC4M 9AD,1,1,51.513835,-0.096794
100003,City of London School,EC4V 3AL,1,1,51.511026,-0.099361
100008,Argyle Primary School,WC1H 9EG,1,0,51.528752,-0.124012
100009,West Hampstead Primary School,NW6 1QL,1,0,51.550753,-0.199482
100010,Brecknock Primary School,NW1 9AL,1,0,51.547483,-0.127871
100011,Brookfield Primary School,N19 5DH,1,0,51.563332,-0.145111
100013,Edith Neville Primary School,NW1 1HQ,1,0,51.532374,-0.130639
100014,Fleet Primary School,NW3 2QT,1,0,51.553464,-0.160918
100015,Hawley Primary School,NW1 8RP,1,0,51.542718,-0.143829
100018,Netley Primary School,NW1 3EX,1,0,51.527712,-0.14059
100019,New End Primary School,NW3 1HU,1,0,51.55814,-0.176512
100020,Primrose Hill School,NW1 8JL,1,0,51.539175,-0.151775
100021,Rhyl Community Primary School,NW5 3HB,1,0,51.547717,-0.150563
100022,Richard Cobden Primary School,NW1 0LL,1,0,51.535595,-0.13639
100023,Torriano Primary School,NW5 2SJ,1,0,51.549675,-0.132815
100025,Gospel Oak Primary School,NW3 2JB,1,0,51.554641,-0.152864
100026,Fitzjohn's Primary School,NW3 6NP,1,0,51.5534,-0.175836
100027,Eleanor Palmer Primary School,NW5 2JA,1,0,51.554369,-0.13907
100028,"Christ Church Primary School, Hampstead",NW3 1JH,1,0,51.559257,-0.176597
100029,Christ Church School,NW1 4BD,1,0,51.530775,-0.144344
100030,Emmanuel Church of England Primary School,NW6 1TF,1,0,51.551837,-0.194549
100031,Hampstead Parochial Church of England Primary School,NW3 6TX,1,0,51.556444,-0.179003
100032,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,1,0,51.546251,-0.178155
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,1,0,51.544547,-0.145197
100034,Kentish Town Church of England Primary School,NW5 2TU,1,0,51.549723,-0.139246
100035,Rosary Catholic Primary School,NW3 2AE,1,0,51.55162,-0.166055
100036,St Alban's Church of England Primary School,EC1N 7SD,1,0,51.520173,-0.111146
100040,St George the Martyr Church of England Primary School,WC1N 2NX,1,0,51.522,-0.116231
100041,St Josephs Catholic Primary School,WC2B 5NA,1,0,51.51619,-0.121833
100042,St Mary's Kilburn Church of England Primary School,NW6 4PG,1,0,51.54037,-0.19333
100043,St Mary and St Pancras Church of England Primary School,NW1 1QP,1,0,51.532372,-0.134446
100045,St Patrick's Catholic Primary School,NW5 3AH,1,0,51.549203,-0.142786
100046,St Paul's Church of England Primary School,NW3 3DS,1,0,51.541385,-0.163712
100047,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,1,0,51.54097,-0.193725
100048,Our Lady Roman Catholic Primary School,NW1 0DP,1,0,51.539046,-0.136797
100049,Haverstock School,NW3 2BQ,0,1,51.544794,-0.153999
100050,Parliament Hill School,NW5 1RL,0,1,51.558448,-0.149623
100051,Regent High School,NW1 1RX,0,1,51.532779,-0.132944
100052,Hampstead School,NW2 3RT,0,1,51.555616,-0.207022
100053,Acland Burghley School,NW5 1UJ,0,1,51.557418,-0.139624
100054,The Camden School for Girls,NW5 2DB,0,1,51.54599,-0.134667
100055,Maria Fidelis Catholic School FCJ,NW1 1LY,0,1,51.529789,-0.133225
100056,William Ellis School,NW5 1RN,0,1,51.558701,-0.150262
100059,La Sainte Union Catholic Secondary School,NW5 1RP,0,1,51.56,-0.149416
100061,St Christopher's School,NW3 5AE,1,0,51.550609,-0.169875
100062,St Margaret's School,NW3 7SR,1,1,51.557363,-0.190753
100063,Sarum Hall School,NW3 3EL,1,0,51.545116,-0.164182
100064,The Hall School,NW3 4NU,1,1,51.545427,-0.170876
100065,University College School,NW3 6XH,1,1,51.553508,-0.181082
100066,The Cavendish School,NW1 7HB,1,0,51.539292,-0.144978
100067,"St Mary's School, Hampstead",NW3 6PG,1,0,51.550538,-0.176296
100068,North Bridge House Nursery & Pre-Prep Schools,NW3 5RR,1,0,51.547843,-0.179347
100069,Hereward House School,NW3 4NY,1,1,51.545513,-0.170022
100070,St Anthony's School for Boys,NW3 6NP,1,1,51.5534,-0.175836
100073,Hampstead Hill School,NW3 2PP,1,0,51.553383,-0.16786
100074,North Bridge House Senior School,NW3 5UD,0,1,51.554462,-0.174726
100075,Trevor-Roberts School,NW3 3ET,1,1,51.54426,-0.170981
100076,South Hampstead High School GDST,NW3 5SS,1,1,51.546191,-0.177206
100077,The Village School,NW3 2YN,1,1,51.548353,-0.158427
100078,Heathside Preparatory School,NW3 1DN,1,1,51.5576,-0.178221
100080,Devonshire House Preparatory School,NW3 6AE,1,1,51.553049,-0.178172
100081,Broadhurst School,NW6 3LP,1,0,51.544873,-0.180922
100082,College Francais Bilingue De Londres,NW5 3AX,1,1,51.54906,-0.145634
100084,Fine Arts College,NW3 4YD,0,1,51.545572,-0.162289
100087,The Mulberry House School,NW2 3SD,1,0,51.551529,-0.207312
100090,Southbank International School Hampstead,NW3 5TH,1,0,51.549679,-0.178855
100091,Frank Barnes School for Deaf Children,N1C 4BT,1,0,51.537452,-0.127057
100092,Harmood School,NW1 8DP,0,1,51.544441,-0.147018
100096,Swiss Cottage School - Development & Research Centre,NW8 6HX,1,1,51.540902,-0.171317
100113,Bannockburn Primary School,SE18 1HE,1,0,51.486805,0.09606
100114,Morden Mount Primary School,SE13 7QP,1,0,51.470157,-0.014395
100115,Cherry Orchard Primary School,SE7 7DG,1,0,51.475826,0.03369
100120,Ealdham Primary School,SE9 6BP,1,0,51.456733,0.035303
100125,Fossdene Primary School,SE7 7NQ,1,0,51.483893,0.026919
100126,Gallions Mount Primary School,SE18 1JR,1,0,51.483953,0.098147
100127,Gordon Primary School,SE9 1QG,1,0,51.458611,0.052963
100129,Haimo Primary School,SE9 6DY,1,0,51.455391,0.041663
100131,Henwick Primary School,SE9 6NZ,1,0,51.462784,0.042612
100134,Invicta Primary School,SE3 7HE,1,0,51.478975,0.020595
100136,Kidbrooke Park Primary School,SE3 8JG,1,0,51.470379,0.042332
100137,Meridian Primary School,SE10 9NY,1,0,51.484211,-0.00049
100140,Plumcroft Primary School,SE18 3HW,1,0,51.477017,0.074037
100141,Sherington Primary School,SE7 7JP,1,0,51.480092,0.025713
100142,Thorntree Primary School,SE7 8AE,1,0,51.487504,0.041642
100146,Wyborne Primary School,SE9 2EH,1,0,51.439851,0.070381
100149,Montbelle Primary School,SE9 3EY,1,0,51.427546,0.061827
100150,Boxgrove Primary School,SE2 9JP,1,0,51.493264,0.116467
100152,De Lucy Primary School,SE2 9PD,1,0,51.495476,0.110015
100155,Cardwell Primary School,SE18 5LP,1,0,51.490741,0.053513
100158,Heronsgate Primary School,SE28 0EA,1,0,51.494056,0.082778
100159,Linton Mead Primary School,SE28 8DT,1,0,51.508016,0.113275
100162,Greenslade Primary School,SE18 2QQ,1,0,51.479253,0.085833
100163,Mulgrave Primary School,SE18 5DL,1,0,51.488555,0.060776
100164,Charlton Manor Primary School,SE7 7EF,1,0,51.477634,0.036809
100165,Christ Church Church of England Primary School,SE10 0DZ,1,0,51.487437,0.007026
100166,"Christ Church Church of England Primary School, Shooters Hill",SE18 3RS,1,0,51.469838,0.060897
100167,Eltham Church of England Primary School,SE9 1TR,1,0,51.451311,0.056925
100168,Our Lady of Grace Catholic Primary School,SE7 7HR,1,0,51.48143,0.028408
100169,St Joseph's Catholic Primary School,SE10 9AN,1,0,51.48629,0.005737
100170,St Margaret's Church of England Primary School,SE18 7RL,1,0,51.482415,0.074412
100171,Saint Mary Magdalene Church of England All Through School,SE18 5PW,1,1,51.491373,0.061076
100173,St Patrick's Catholic Primary School,SE18 7QG,1,0,51.488479,0.08539
100174,St Alfege with St Peter's Church of England Primary School,SE10 9RB,1,0,51.481727,-0.012553
100175,St Peter's Catholic Primary School,SE18 7BN,1,0,51.486614,0.068855
100176,St Thomas More Catholic Primary School,SE9 6NS,1,0,51.462582,0.044921
100177,St Thomas A Becket Roman Catholic Primary School,SE2 9LY,1,0,51.49156,0.104201
100178,Holy Family Catholic Primary School,SE3 9YX,1,0,51.459948,0.030393
100179,Notre Dame Catholic Primary School,SE18 3SJ,1,0,51.480271,0.065947
100180,St Margaret Clitherow Catholic Primary School,SE28 8GB,1,0,51.500964,0.113366
100181,Bishop John Robinson Church of England Primary School,SE28 8LW,1,0,51.508975,0.117916
100182,Eltham Hill School,SE9 5EE,0,1,51.450912,0.04581
100183,Plumstead Manor School,SE18 1QF,0,1,51.48191,0.084644
100190,Thomas Tallis School,SE3 9PX,0,1,51.466176,0.02645
100193,St Ursula's Convent School,SE10 8HN,0,1,51.475785,-0.005784
100198,The Pointer School,SE3 7TH,1,0,51.474732,0.017383
100199,Blackheath Prep,SE3 0NJ,1,0,51.472423,0.015668
100200,Riverston School,SE12 8UF,1,1,51.45574,0.019396
100201,St Olave's Prep School,SE9 3QS,1,0,51.435745,0.066584
100202,Colfe's School,SE12 8AW,1,1,51.449899,0.021772
100203,Heath House Preparatory School,SE3 0TG,1,0,51.466791,0.010064
100204,King's Oak School,SE9 5LX,0,1,51.449232,0.036941
100218,Berger Primary School,E9 6HB,1,0,51.546491,-0.04511
100221,Colvestone Primary School,E8 2LG,1,0,51.549122,-0.072547
100223,Daubeney Primary School,E5 0EG,1,0,51.552359,-0.037848
100224,De Beauvoir Primary School,E8 3DY,1,0,51.544685,-0.074003
100225,Gainsborough Primary School,E9 5ND,1,0,51.546154,-0.025466
100229,Lauriston School,E9 7JS,1,0,51.53688,-0.046848
100230,London Fields Primary School,E8 3RL,1,0,51.537505,-0.059006
100231,Millfields Community School,E5 0SH,1,0,51.555869,-0.05094
100232,Morningside Primary School,E9 6LL,1,0,51.546505,-0.050258
100234,Orchard Primary School,E9 7BB,1,0,51.540846,-0.049029
100235,Queensbridge Primary School,E8 4ET,1,0,51.539288,-0.071722
100236,Randal Cremer Primary School,E2 8JG,1,0,51.533075,-0.075056
100239,Princess May Primary School,N16 8DF,1,0,51.552781,-0.077412
100240,Sebright School,E2 8QH,1,0,51.533367,-0.065455
100241,Shacklewell Primary School,E8 2EA,1,0,51.552827,-0.071496
100242,Southwold Primary School,E5 9NL,1,0,51.56344,-0.053603
100243,Thomas Fairchild Community School,N1 7HA,1,0,51.533473,-0.091678
100244,Oldhill Community School,N16 6LR,1,0,51.568579,-0.066342
100245,Shoreditch Park Primary School,N1 5JN,1,0,51.535024,-0.085831
100248,Woodberry Down Community Primary School,N4 1SY,1,0,51.573155,-0.090984
100250,Kingsmead Primary School,E9 5PP,1,0,51.553831,-0.034986
100251,Sir Thomas Abney School,N16 5ED,1,0,51.570796,-0.081415
100252,Grasmere Primary School,N16 9PD,1,0,51.555531,-0.083874
100253,Jubilee Primary School,N16 6NR,1,0,51.566072,-0.065915
100254,Nightingale Primary School,E5 8NA,1,0,51.555978,-0.060774
100255,Baden-Powell School,E5 8DN,1,0,51.557773,-0.05839
100256,Harrington Hill Primary School,E5 9JG,1,0,51.566673,-0.054418
100257,Holmleigh Primary School,N16 5ED,1,0,51.570796,-0.081415
100258,Grazebrook Primary School,N16 0QP,1,0,51.564196,-0.083106
100259,Parkwood Primary School,N4 2HQ,1,0,51.565071,-0.099287
100260,Benthal Primary School,N16 7AU,1,0,51.558299,-0.065162
100261,Mandeville Primary School,E5 0BT,1,0,51.55714,-0.040325
100263,Holy Trinity Church of England Primary School,E8 3DY,1,0,51.544685,-0.074003
100264,Our Lady and St Joseph Catholic Primary School,N1 4JB,1,0,51.544943,-0.08041
100266,St John the Baptist Voluntary Aided Church of England Primary School,N1 6JG,1,0,51.530874,-0.083958
100267,St Matthias Church of England Primary School,N16 8DD,1,0,51.552497,-0.079328
100268,St Monica's Roman Catholic Primary School,N1 6QN,1,0,51.528418,-0.080586
100269,St. Paul's With St. Michael's CofE Primary School,E8 4PB,1,0,51.537869,-0.064701
100270,St John of Jerusalem Church of England Primary School,E9 7JF,1,0,51.540082,-0.050129
100271,"St Mary's Church of England Primary School, Stoke Newington",N16 0JT,1,0,51.56209,-0.081925
100274,St Scholastica's Catholic Primary School,E5 8BS,1,0,51.558536,-0.059944
100275,Simon Marks Jewish Primary School,N16 6PD,1,0,51.5654,-0.069334
100279,Stoke Newington School and Sixth Form,N16 9EX,0,1,51.557889,-0.084583
100282,All Saints Catholic High School,N16 5AF,0,1,51.574273,-0.075207
100284,The Urswick School - A Church of England Secondary School,E9 6NR,0,1,51.544467,-0.052595
100285,Cardinal Pole Catholic School,E9 6LG,0,1,51.546787,-0.046684
100287,Yesodey Hatorah School,N16 5AE,1,1,51.574133,-0.074318
100289,Talmud Torah Yetev Lev,N16 6AX,1,0,51.566037,-0.064343
100291,Bnois Jerusalem Girls School,N16 5DL,1,1,51.574504,-0.079945
100293,Beis Rochel d'Satmar Girls' School,N16 5DL,1,1,51.574504,-0.079945
100294,Talmud Torah Machzikei Hadass School,E5 9SN,1,0,51.572357,-0.065345
100295,Beis Malka Girls' School,N16 6XD,1,1,51.566614,-0.069889
100296,Talmud Torah Chaim Meirim Wiznitz School,N16 6XB,1,1,51.567169,-0.070312
100298,Bobov Primary Boys School,N16 6UE,1,1,51.574274,-0.070373
100299,T T T Y Y School,N16 5NH,1,1,51.568389,-0.081617
100300,Tayyibah Girls' School,N16 6JJ,1,1,51.566964,-0.06276
100303,River House Montessori School,E14 9XP,1,1,51.498627,-0.018041
100307,Stormont House School,E5 8NP,0,1,51.552754,-0.059411
100311,The Garden School,N16 8BZ,1,1,51.554164,-0.078435
100312,Ickburgh School,E9 5RB,1,1,51.546603,-0.036682
100321,Addison Primary School,W14 0DT,1,0,51.500295,-0.218329
100322,Avonmore Primary School,W14 9LY,1,0,51.489595,-0.203118
100324,Brackenbury Primary School,W6 0BA,1,0,51.49984,-0.232251
100326,Miles Coverdale Primary School,W12 8JJ,1,0,51.504863,-0.22903
100328,Flora Gardens Primary School,W6 7PZ,1,0,51.498671,-0.22394
100331,Kenmont Primary School,NW10 6AL,1,0,51.531695,-0.235472
100334,Melcombe Primary School,W6 9ER,1,0,51.486183,-0.221141
100335,Old Oak Primary School,W12 0AS,1,0,51.519434,-0.24654
100338,Sir John Lillie Primary School,SW6 7LN,1,0,51.483268,-0.2092
100340,Wendell Park Primary School,W12 9LB,1,0,51.503751,-0.248382
100341,Wormholt Park Primary School,W12 0SR,1,0,51.511443,-0.24016
100344,All Saints CofE Primary School,SW6 6ED,1,0,51.472859,-0.21361
100345,Holy Cross RC School,SW6 4BL,1,0,51.475948,-0.197476
100346,John Betts Primary School,W6 0UA,1,0,51.498552,-0.237502
100347,St Augustine's RC Primary School,W6 8QE,1,0,51.484281,-0.209592
100349,St John's Walham Green Church of England Primary School,SW6 6AS,1,0,51.48187,-0.213633
100350,St Mary's Catholic Primary School,W14 0LT,1,0,51.498937,-0.215933
100351,St Paul's CofE Primary School,W6 9BP,1,0,51.490636,-0.227176
100352,St Peter's Primary School,W6 9BA,1,0,51.492048,-0.240936
100353,St Stephen's CofE Primary School,W12 8LH,1,0,51.50557,-0.227576
100354,Good Shepherd RC Primary School,W12 9BY,1,0,51.502829,-0.245622
100357,St Thomas of Canterbury Catholic Primary School,SW6 7HB,1,0,51.481763,-0.206652
100366,St Paul's Girls' School,W6 7BS,1,1,51.495132,-0.218833
100368,Bute House Preparatory School for Girls,W6 7EA,1,0,51.495322,-0.221304
100369,The Godolphin and Latymer School,W6 0PG,1,1,51.495309,-0.22992
100370,Latymer Upper School and Latymer Prep,W6 9LR,1,1,51.492736,-0.237064
100371,Ecole Française de Londres Jacques Prévert,W6 7BE,1,0,51.49612,-0.218795
100372,Evergreen Primary School,SW6 4QT,1,0,51.476185,-0.201211
100373,Ravenscourt Park Preparatory School,W6 0SL,1,0,51.493754,-0.237759
100375,L'Ecole des Petits School,SW6 2NB,1,0,51.471923,-0.190737
100379,Woodlane High School,W12 0TN,0,1,51.516849,-0.231304
100381,Jack Tizard School,W12 7PA,1,1,51.510232,-0.230796
100382,Cambridge School,W12 0SP,0,1,51.511684,-0.236476
100397,Ambler Primary School and Children's Centre,N4 2DR,1,0,51.562126,-0.100694
100402,Drayton Park Primary School,N5 1PJ,1,0,51.551551,-0.105721
100403,Duncombe Primary School,N19 4JA,1,0,51.566993,-0.123679
100405,Gillespie Primary School,N5 1LH,1,0,51.559721,-0.100996
100406,Grafton Primary School,N7 6AR,1,0,51.559388,-0.119389
100407,Hanover Primary School,N1 8BD,1,0,51.532949,-0.098722
100408,Hargrave Park Primary School,N19 5BS,1,0,51.564286,-0.140051
100411,Laycock Primary School,N1 1SW,1,0,51.5445,-0.105653
100415,Moreland Primary School,EC1V 8BB,1,0,51.528599,-0.09997
100418,Pakeman Primary School,N7 6DU,1,0,51.559499,-0.114537
100422,Robert Blair School and Children's Centre,N7 9QJ,1,0,51.545124,-0.119848
100425,Thornhill Primary School,N1 1HX,1,0,51.540335,-0.10946
100426,Vittoria Primary School,N1 0WF,1,0,51.535724,-0.118519
100428,Winton Primary School,N1 9AZ,1,0,51.533383,-0.118371
100429,Yerbury Primary School,N19 4RR,1,0,51.56006,-0.131596
100430,Tufnell Park Primary School,N7 0HJ,1,0,51.554338,-0.129724
100431,Highbury Quadrant Primary School,N5 2DP,1,0,51.553943,-0.091846
100432,Ashmount Primary School,N8 9EG,1,0,51.574506,-0.121739
100434,Prior Weston Primary School and Children's Centre,EC1Y 8JA,1,0,51.521927,-0.093343
100437,Sacred Heart Catholic Primary School,N7 8JN,1,0,51.550426,-0.112864
100438,St John Evangelist Catholic Primary School,N1 8BL,1,0,51.533953,-0.104044
100439,St John's Upper Holloway CofE Primary School,N19 5RR,1,0,51.56265,-0.131605
100440,St John's Highbury Vale CofE Primary School,N5 1DL,1,0,51.558278,-0.100161
100441,St Joseph's Catholic Primary School,N19 5NE,1,0,51.567449,-0.138767
100442,St Jude and St Paul's CofE Primary School,N1 4AZ,1,0,51.54815,-0.079064
100443,St Luke's CofE Primary School,EC1V 3SJ,1,0,51.526544,-0.091939
100444,St Mark's CofE Primary School,N19 4JF,1,0,51.564359,-0.120916
100446,St Mary's CofE Primary School,N1 2EP,1,0,51.539352,-0.099854
100447,St Peter and St Paul Catholic Primary School,EC1V 0EU,1,0,51.524972,-0.100914
100448,St Andrew's (Barnsbury) CofE Primary School,N1 0LB,1,0,51.538187,-0.114596
100449,St Joan of Arc RC Primary School,N5 2UX,1,0,51.556611,-0.096076
100450,Christ The King Catholic Primary School,N4 3QW,1,0,51.566881,-0.113929
100451,Blessed Sacrament RC Primary School,N1 0UF,1,0,51.536613,-0.11906
100453,Beacon High,N7 0JG,0,1,51.553081,-0.129329
100455,Highbury Fields School,N5 1AR,0,1,51.552805,-0.1015
100457,Elizabeth Garrett Anderson School,N1 9QG,0,1,51.532955,-0.113587
100458,Central Foundation Boys' School,EC2A 4SH,0,1,51.525211,-0.085753
100459,St Aloysius RC College,N6 5LY,0,1,51.569821,-0.138642
100462,Dallington School,EC1V 0BW,1,0,51.524641,-0.100452
100463,Charterhouse Square School,EC1M 6EA,1,0,51.520377,-0.098684
100467,Richard Cloudesley School,N1 8RE,1,1,51.535998,-0.098205
100469,Samuel Rhodes MLD School,N5 2EG,1,1,51.54964,-0.097665
100477,Ashburnham Community School,SW10 0DT,1,0,51.481822,-0.177802
100478,Barlby Primary School,W10 6DW,1,0,51.523628,-0.214002
100479,Bevington Primary School,W10 5TW,1,0,51.521326,-0.208139
100480,Bousfield Primary School,SW5 0DJ,1,0,51.490072,-0.186173
100481,Colville Primary School,W11 2DF,1,0,51.514639,-0.203645
100482,Fox Primary School,W8 7PP,1,0,51.507491,-0.196678
100483,Marlborough Primary School,SW3 3AP,1,0,51.492679,-0.165887
100485,Oxford Gardens Primary School,W10 6NF,1,0,51.517392,-0.216667
100486,Park Walk Primary School,SW10 0AY,1,0,51.484153,-0.177954
100487,Avondale Park Primary School,W11 4EE,1,0,51.510639,-0.213732
100488,Thomas Jones Primary School,W11 1RQ,1,0,51.514913,-0.210365
100489,Christ Church CofE Primary School,SW3 4AA,1,0,51.485497,-0.164332
100490,Holy Trinity CofE Primary School,SW1X 9DE,1,0,51.493299,-0.156671
